SKU,LENGTH,COLOR,PRICE,STOCK,LENGTH_SIZE
test,,2,20,100,
 test,,32,20,70,
 test,,4,22,50,
 test,,2,21,20,
 test,,1,20,100,
shop_ab,,4,25,80,Inch
 shop_ab,,3,35,70,Inch
 shop_ab,,2,30,60,Inch
 shop_ab,,1,20,50,InchInch
ESTHER,,1,58,20,
ESTHER,,001B,58,29,
ESTHER,,2,58,0,
ESTHER,,4,58,6,
ESTHER,,F1B-27S,58,4,
ESTHER,,F1B-30,58,16,
ESTHER,,F1B-33,58,9,
ESTHER,,F1B-BG,58,21,
ESTHER,,F4-30,58,4,
ESTHER,,P27-613,58,0,
ESTHER,,PT4-30-33,58,31,
ESTHER,,TT1B-27,58,48,
ESTHER,,TT1B-30,58,32,
ESTHER,,TT1B-33,58,46,
ESTHER,,TT1B-BG,58,54,
ESTHER1,,1,58,20,
ESTHER1,,001B,58,29,
ESTHER1,,2,58,0,
ESTHER1,,4,58,6,
ESTHER1,,F1B-27S,58,4,
ESTHER1,,F1B-30,58,16,
ESTHER1,,F1B-33,58,9,
ESTHER1,,F1B-BG,58,21,
ESTHER1,,F4-30,58,4,
ESTHER1,,P27-613,58,0,
ESTHER1,,PT4-30-33,58,31,
ESTHER1,,TT1B-27,58,48,
ESTHER1,,TT1B-30,58,32,
ESTHER1,,TT1B-33,58,46,
ESTHER1,,TT1B-BG,58,54,
ESTHER120,,F4-30,100,80,
ESTHER120,,F4-30,100,80,
ESTHER123,,F4-30,100,80,
ESTHER115,,001B,100,25,
ESTHER115,,TT1B-33,100,20,
ESTHER115,,1,100,20,
ESTHER115,,TT1B-BG,100,25,
ESTHER115,,F4-30,100,20,
ESTHER115,,2,100,30,
ESTHER118,,4,100,25,
ESTHER118,,1,100,25,
ESTHER118,,001B,100,30,
ESTHER118,,2,100,90,
ESTHER118,,TT1B-33,100,100,
ESTHER118,,F4-30,100,80,
ESTHER118,,TT1B-BG,100,18,
ESTHER1111,,4,100,25,
ESTHER1111,,TT1B-BG,100,25,
ESTHER1111,,F4-30,100,30,
ESTHER1111,,2,50,25,
ESTHER1111,,1,100,31,
