Item,length,color,Type,Price,STOCK
2N1,,1,2,5.5,45
2N1,,001B,2,5.5,38
2N1,,2,2,5.5,49
2N1,,3,2,5.5,116
2N1,,4,2,5.5,51
2N1,,6,2,5.5,494
2N1,,22,2,5.5,99
2N1,,34,2,5.5,33
2N1,,44,2,5.5,27
2N1,,51,2,5.5,22
2N1,,280,2,5.5,13
2N1,,613,2,5.5,113
2N1,,99J,2,5.5,38
2N1,,F18_22,2,5.5,14
2N1,,F237,2,5.5,28
2N1,,F4_27,2,5.5,1
2N1,,M30_144,2,5.5,102
2N1,,M99J_350,2,5.5,343
2N1,,P18_22,2,5.5,85
2N1,,P1B_130,2,5.5,256
2N1,,P1B_144,2,5.5,101
2N1,,P1B_27,2,5.5,27
2N1,,P1B_30,2,5.5,10
2N1,,P1B_33,2,5.5,25
2N1,,P1B_350,2,5.5,31
2N1,,P1B_613,2,5.5,6
2N1,,P1B_BG,2,5.5,27
2N1,,P27_613,2,5.5,23
2N1,,P30_144,2,5.5,4
2N1,,P30_33,2,5.5,55
2N1,,P30_350,2,5.5,61
2N1,,P4_30,2,5.5,33
2N1,,P4_8,2,5.5,109
2N1,,T1B_144,2,5.5,173
2N1,,T1B_27,2,5.5,65
2N1,,T1B_30,2,5.5,6
2N1,,T1B_33,2,5.5,42
2N1,,T4_118_144,2,5.5,409
2N1 BRD,,1,2,6,33
2N1 BRD,,001B,2,6,3
2N1 BRD,,4,2,6,-1
2N1 BRD,,2F350,2,6,1
2N1 BRD,,T2_30,2,6,17
2N1 CLP,,1,2,5.25,184
2N1 CLP,,001B,2,5.25,113
2N1 CLP,,2,2,5.25,89
2N1 CLP,,4,2,5.25,118
2N1 CLP,,6,2,5.25,233
2N1 CLP,,10,2,5.25,146
2N1 CLP,,16,2,5.25,54
2N1 CLP,,22,2,5.25,107
2N1 CLP,,27,2,5.25,222
2N1 CLP,,30,2,5.25,136
2N1 CLP,,33,2,5.25,131
2N1 CLP,,51,2,5.25,28
2N1 CLP,,280,2,5.25,13
2N1 CLP,,613,2,5.25,182
2N1 CLP,,F14_24,2,5.25,19
2N1 CLP,,F18_22,2,5.25,96
2N1 CLP,,M30_350,2,5.25,40
2N1 CLP,,M99J_350,2,5.25,152
2N1 CLP,,P1B_27,2,5.25,170
2N1 CLP,,P1B_30,2,5.25,276
2N1 CLP,,P1B_33,2,5.25,149
2N1 CLP,,P1B_350,2,5.25,233
2N1 CLP,,P1B_BG,2,5.25,190
2N1 CLP,,P27_613,2,5.25,41
2N1 CLP,,P30_144,2,5.25,228
2N1 CLP,,P30_350,2,5.25,183
2N1 CLP,,T4_27,2,5.25,14
2N1 HH,,1,6,30,16
2N1 HH,,001B,6,30,20
2N1 HH,,2,6,30,11
2N1 HH,,4,6,30,0
2N1 HH,,P1B_27,6,30,0
2N1 HH,,P1B_30,6,30,0
2N1 HH,,P1B_33,6,30,0
2N1 HH,,P1B_350,6,30,0
2N1 HH,,P1B_BG,6,30,0
2N1 HH,,P27_613,6,30,0
2N1 L,,1,2,6,98
2N1 L,,001B,2,6,69
2N1 L,,2,2,6,99
2N1 L,,4,2,6,48
2N1 L,,34,2,6,18
2N1 L,,F1B_27,2,6,50
2N1 L,,F1B_30,2,6,45
2N1 L,,F1B_33,2,6,32
2N1 L,,F1B_350,2,6,34
