ID,PRODUCT_CODE,SKU,LENGTH,COLOR,TYPE,PRICE,STOCK,MANUFACTUREPRICE,WHOLESALEPRICE,REGULARPRICE,
55,ISABELLA,ISABELLA,,1,Inch,36.00,0.00,18.00,19.80,54,
55,ISABELLA,ISABELLA,,1B,Inch,36.00,0.00,18.00,19.80,54,
55,ISABELLA,ISABELLA,,2,Inch,36.00,0.00,18.00,19.80,54,
55,ISABELLA,ISABELLA,,3T1B_30,Inch,36.00,0.00,18.00,19.80,54,
55,ISABELLA,ISABELLA,,3T4_613,Inch,36.00,0.00,18.00,19.80,54,
55,ISABELLA,ISABELLA,,3T5004,Inch,36.00,0.00,18.00,19.80,54,
55,ISABELLA,ISABELLA,,4,Inch,36.00,0.00,18.00,19.80,54,
55,ISABELLA,ISABELLA,,DX2216,Inch,36.00,0.00,18.00,19.80,54,
55,ISABELLA,ISABELLA,,DX3147,Inch,36.00,0.00,18.00,19.80,54,
55,ISABELLA,ISABELLA,,DX4733,Inch,36.00,0.00,18.00,19.80,54,
55,ISABELLA,ISABELLA,,LX3316,Inch,36.00,0.00,18.00,19.80,54,
55,ISABELLA,ISABELLA,,SOM7002,Inch,36.00,0.00,18.00,19.80,54,
55,ISABELLA,ISABELLA,,SOM7003,Inch,36.00,0.00,18.00,19.80,54,
55,ISABELLA,ISABELLA,,SOM7005,Inch,36.00,0.00,18.00,19.80,54,
55,ISABELLA,ISABELLA,,SOM7008,Inch,36.00,0.00,18.00,19.80,54,
55,ISABELLA,ISABELLA,,SOM7016,Inch,36.00,0.00,18.00,19.80,54,
55,ISABELLA,ISABELLA,,TT_BURG,Inch,36.00,0.00,18.00,19.80,54,
55,ISABELLA,ISABELLA,,TT1B_RED,Inch,36.00,0.00,18.00,19.80,54,
55,ISABELLA,ISABELLA,,TT4_27,Inch,36.00,0.00,18.00,19.80,54,
56,ANNA,ANNA,,1,Inch,21.00,0.00,10.50,11.55,31.5,
56,ANNA,ANNA,,1B,Inch,21.00,0.00,10.50,11.55,31.5,
56,ANNA,ANNA,,2,Inch,21.00,0.00,10.50,11.55,31.5,
56,ANNA,ANNA,,3T1B_30,Inch,21.00,0.00,10.50,11.55,31.5,
56,ANNA,ANNA,,3T4_613,Inch,21.00,0.00,10.50,11.55,31.5,
56,ANNA,ANNA,,3T5004,Inch,21.00,0.00,10.50,11.55,31.5,
56,ANNA,ANNA,,4,Inch,21.00,0.00,10.50,11.55,31.5,
56,ANNA,ANNA,,DX2216,Inch,21.00,0.00,10.50,11.55,31.5,
56,ANNA,ANNA,,DX3147,Inch,21.00,0.00,10.50,11.55,31.5,
56,ANNA,ANNA,,DX4733,Inch,21.00,0.00,10.50,11.55,31.5,
56,ANNA,ANNA,,LX3316,Inch,21.00,0.00,10.50,11.55,31.5,
56,ANNA,ANNA,,SOM7002,Inch,21.00,0.00,10.50,11.55,31.5,
56,ANNA,ANNA,,SOM7003,Inch,21.00,0.00,10.50,11.55,31.5,
56,ANNA,ANNA,,SOM7005,Inch,21.00,0.00,10.50,11.55,31.5,
56,ANNA,ANNA,,SOM7008,Inch,21.00,0.00,10.50,11.55,31.5,
56,ANNA,ANNA,,SOM7016,Inch,21.00,0.00,10.50,11.55,31.5,
56,ANNA,ANNA,,TT_BURG,Inch,21.00,0.00,10.50,11.55,31.5,
56,ANNA,ANNA,,TT1B_RED,Inch,21.00,0.00,10.50,11.55,31.5,
56,ANNA,ANNA,,TT4_27,Inch,21.00,0.00,10.50,11.55,31.5,
57,KAREN,KAREN,,1,Inch,36.00,0.00,18.00,19.80,54,
57,KAREN,KAREN,,1B,Inch,36.00,0.00,18.00,19.80,54,
57,KAREN,KAREN,,2,Inch,36.00,0.00,18.00,19.80,54,
57,KAREN,KAREN,,3T1B_30,Inch,36.00,0.00,18.00,19.80,54,
57,KAREN,KAREN,,3T4_613,Inch,36.00,0.00,18.00,19.80,54,
57,KAREN,KAREN,,3T5004,Inch,36.00,0.00,18.00,19.80,54,
57,KAREN,KAREN,,4,Inch,36.00,0.00,18.00,19.80,54,
