ID,PRODUCT_CODE,SKU,LENGTH,COLOR,TYPE,PRICE,STOCK,MANUFACTUREPRICE,WHOLESALEPRICE,REGULARPRICE
87,SC001,SC001,,1,Inch,28.5,400,9.5,10.45,36
87,SC001,SC001,,1B,Inch,28.5,499,9.5,10.45,36
87,SC001,SC001,,2,Inch,28.5,300,9.5,10.45,36
87,SC001,SC001,,27,Inch,28.5,200,9.5,10.45,36
87,SC001,SC001,,30,Inch,28.5,200,9.5,10.45,36
87,SC001,SC001,,4,Inch,28.5,199,9.5,10.45,36
87,SC001,SC001,,F1B_30,Inch,28.5,199,9.5,10.45,36
87,SC001,SC001,,F4_30,Inch,28.5,199,9.5,10.45,36
1,FAC-NA,CHINESE VIRGIN SHUN FA NATURAL WAVE,10,NATURAL,Inch,37.5,100,12.5,13.75,47
1,FAC-NA,CHINESE VIRGIN SHUN FA NATURAL WAVE,12,NATURAL,Inch,49.5,100,16.5,18.15,62
1,FAC-NA,CHINESE VIRGIN SHUN FA NATURAL WAVE,14,NATURAL,Inch,72,100,24,26.4,90
1,FAC-NA,CHINESE VIRGIN SHUN FA NATURAL WAVE,16,NATURAL,Inch,90,100,30,33,113
1,FAC-NA,CHINESE VIRGIN SHUN FA NATURAL WAVE,18,NATURAL,Inch,114,100,38,41.8,143
1,FAC-NA,CHINESE VIRGIN SHUN FA NATURAL WAVE,20,NATURAL,Inch,135,100,45,49.5,169
1,FAC-NA,CHINESE VIRGIN SHUN FA NATURAL WAVE,22,NATURAL,Inch,150,100,50,55,188
1,FAC-NA,CHINESE VIRGIN SHUN FA NATURAL WAVE,24,NATURAL,Inch,171,100,57,62.7,214
1,FAC-NA,CHINESE VIRGIN SHUN FA NATURAL WAVE,26,NATURAL,Inch,192,100,64,70.4,240
2,FAC-BW, CHINESE VIRGIN SHUN FA BODY WAVE,10,NATURAL,Inch,37.5,100,12.5,13.75,47
2,FAC-BW, CHINESE VIRGIN SHUN FA BODY WAVE,12,NATURAL,Inch,49.5,100,16.5,18.15,62
2,FAC-BW, CHINESE VIRGIN SHUN FA BODY WAVE,14,NATURAL,Inch,72,100,24,26.4,90
2,FAC-BW, CHINESE VIRGIN SHUN FA BODY WAVE,16,NATURAL,Inch,90,100,30,33,113
2,FAC-BW, CHINESE VIRGIN SHUN FA BODY WAVE,18,NATURAL,Inch,114,100,38,41.8,143
2,FAC-BW, CHINESE VIRGIN SHUN FA BODY WAVE,20,NATURAL,Inch,135,100,45,49.5,169
33,AND-STW,ANDREA SILKY WEAVING ,16,1,Inch,135,0,45,49.5,168.75
33,AND-STW,ANDREA SILKY WEAVING ,16,1B,Inch,135,0,45,49.5,168.75
33,AND-STW,ANDREA SILKY WEAVING ,16,2,Inch,135,0,45,49.5,168.75
33,AND-STW,ANDREA SILKY WEAVING ,16,4,Inch,135,0,45,49.5,168.75
33,AND-STW,ANDREA SILKY WEAVING ,16,6,Inch,135,0,45,49.5,168.75
33,AND-STW,ANDREA SILKY WEAVING ,16,10,Inch,135,0,45,49.5,168.75
33,AND-STW,ANDREA SILKY WEAVING ,16,14,Inch,135,0,45,49.5,168.75
33,AND-STW,ANDREA SILKY WEAVING ,16,16,Inch,168,0,56,61.6,210
33,AND-STW,ANDREA SILKY WEAVING ,16,18,Inch,168,0,56,61.6,210
33,AND-STW,ANDREA SILKY WEAVING ,16,22,Inch,186,0,62,68.2,232.5
33,AND-STW,ANDREA SILKY WEAVING ,16,24,Inch,186,0,62,68.2,232.5
33,AND-STW,ANDREA SILKY WEAVING ,16,27,Inch,168,0,56,61.6,210
33,AND-STW,ANDREA SILKY WEAVING ,16,30,Inch,135,0,45,49.5,168.75
33,AND-STW,ANDREA SILKY WEAVING ,16,032A,Inch,153,0,51,56.1,191.25
33,AND-STW,ANDREA SILKY WEAVING ,16,33,Inch,135,0,45,49.5,168.75
33,AND-STW,ANDREA SILKY WEAVING ,16,035A,Inch,153,0,51,56.1,191.25
33,AND-STW,ANDREA SILKY WEAVING ,16,613,Inch,186,0,62,68.2,232.5
33,AND-STW,ANDREA SILKY WEAVING ,16,613B,Inch,186,200,62,68.2,232.5
33,AND-STW,ANDREA SILKY WEAVING ,16,LT.SILVER,Inch,186,100,62,68.2,232.5
33,AND-STW,ANDREA SILKY WEAVING ,16,P10_16,Inch,168,0,56,61.6,210
33,AND-STW,ANDREA SILKY WEAVING ,16,P14_24,Inch,168,0,56,61.6,210
33,AND-STW,ANDREA SILKY WEAVING ,16,P16_24,Inch,168,0,56,61.6,210
33,AND-STW,ANDREA SILKY WEAVING ,16,P18_22,Inch,168,0,56,61.6,210
33,AND-STW,ANDREA SILKY WEAVING ,16,P2_27,Inch,168,0,56,61.6,210
33,AND-STW,ANDREA SILKY WEAVING ,16,P2_613,Inch,168,0,56,61.6,210
33,AND-STW,ANDREA SILKY WEAVING ,16,P27_613,Inch,186,0,62,68.2,232.5
33,AND-STW,ANDREA SILKY WEAVING ,16,P4_24,Inch,168,0,56,61.6,210
33,AND-STW,ANDREA SILKY WEAVING ,16,P4_27,Inch,168,0,56,61.6,210
33,AND-STW,ANDREA SILKY WEAVING ,16,P4_27_30,Inch,168,0,56,61.6,210
33,AND-STW,ANDREA SILKY WEAVING ,16,P4_30,Inch,153,0,51,56.1,191.25
33,AND-STW,ANDREA SILKY WEAVING ,16,P6_613,Inch,168,0,56,61.6,210
33,AND-STW,ANDREA SILKY WEAVING ,16,T4_30_27,Inch,168,0,56,61.6,210
33,AND-STW,ANDREA SILKY WEAVING ,16,T6_27_613,Inch,186,0,62,68.2,232.5
33,AND-STW,ANDREA SILKY WEAVING ,16,TT3_613,Inch,186,0,62,68.2,232.5
33,AND-STW,ANDREA SILKY WEAVING ,16,TT3_BURG,Inch,186,0,62,68.2,232.5
33,AND-STW,ANDREA SILKY WEAVING ,18,1,Inch,174,198,58,63.8,217.5
33,AND-STW,ANDREA SILKY WEAVING ,18,1B,Inch,174,297,58,63.8,217.5
33,AND-STW,ANDREA SILKY WEAVING ,18,2,Inch,174,98,58,63.8,217.5
33,AND-STW,ANDREA SILKY WEAVING ,18,4,Inch,174,98,58,63.8,217.5
